2,3,1
2,4,1
2,13,1
2,675,1
2,772,1
2,804,1
2,889,1
2,1864,1
2,1866,1
2,1869,1
2,1870,1
2,1879,1
2,1914,1
3,4,29
3,360,1
3,364,1
3,368,1
3,369,1
3,635,1
3,657,1
3,678,1
3,687,1
3,698,1
3,837,1
3,854,1
3,859,1
3,867,1
3,882,1
3,891,1
3,895,1
3,954,1
3,968,1
3,1006,1
3,1027,1
3,1041,1
3,1057,1
3,1069,1
3,1076,1
3,1080,1
3,1110,1
3,1129,1
3,1139,1
3,1141,1
3,1146,1
3,1177,1
3,1190,1
3,1197,1
3,1218,1
3,1254,1
3,2485,1
32,3,1
35,3,1
35,36,1
206,3,1
206,4,1
206,207,1
238,3,1
238,242,1
238,256,1
243,3,1
243,2123,1
247,3,1
252,3,1
255,3,1
289,290,1
289,291,1
289,333,1
290,291,6
290,294,1
290,295,1
290,322,1
292,291,1
293,290,1
293,291,1
293,307,1
300,290,1
300,291,1
300,303,1
302,291,1
304,290,1
304,291,1
304,305,1
308,291,1
308,309,1
308,330,1
311,290,1
311,291,1
313,290,1
313,291,1
313,323,1
313,325,1
318,291,1
318,319,1
319,291,2
321,290,1
321,322,1
332,291,1
332,319,1
353,3,1
353,384,1
363,3,1
363,364,1
367,3,1
367,368,1
634,3,1
634,635,1
636,3,1
636,4,1
647,3,1
647,4,1
647,648,1
647,686,1
654,3,1
654,4,1
656,3,1
656,657,1
677,3,1
677,678,1
682,3,1
682,683,1
682,2485,1
696,4,1
697,3,1
697,698,1
699,4,1
699,785,1
701,4,1
704,3,1
704,4,1
704,1230,1
713,3,1
713,4,1
716,3,1
716,4,1
723,3,1
723,4,1
733,734,1
737,3,1
737,4,1
738,3,1
738,4,1
738,744,1
743,3,1
743,4,1
743,761,1
743,1172,1
743,1179,1
771,3,1
771,4,1
771,813,1
771,1158,1
771,1160,1
783,4,1
783,784,1
783,796,1
783,822,1
786,3,1
786,4,1
806,3,1
806,4,1
806,809,1
820,3,1
820,4,1
820,1213,1
820,1247,1
828,3,1
828,4,1
832,3,1
832,4,1
836,3,1
836,837,1
838,839,1
843,844,1
845,4,1
845,846,1
845,898,1
846,4,2
848,849,1
853,3,1
853,854,1
857,3,1
857,4,1
858,3,1
858,859,1
863,3,1
863,4,1
872,3,1
872,4,1
872,1204,1
888,3,1
888,4,1
890,3,1
890,891,1
900,901,1
900,1130,1
967,3,1
967,968,1
975,4,1
975,978,1
1005,3,1
1005,1006,1
1056,3,1
1056,1057,1
1075,3,1
1075,1076,1
1079,3,1
1079,1080,1
1103,3,1
1103,4,1
1103,1104,1
1109,3,1
1109,1110,1
1109,1111,1
1112,3,1
1112,1155,1
1123,3,1
1123,1124,1
1128,3,1
1128,1129,1
1128,1242,1
1137,3,1
1137,1138,1
1137,1139,1
1140,3,1
1140,1141,1
1176,3,1
1176,1177,1
1189,3,1
1189,1190,1
1214,3,1
1214,4,1
1214,1252,1
1217,3,1
1217,1218,1
1226,1227,1
1234,1235,1
1267,3,1
2432,3,1
2432,2434,1
2432,2445,1
2432,2447,1
